Date,Open,High,Low,Close,Adj Close,Volume
2016-07-14,180.0,180.0,171.0,171.0,171.0,3673377
2016-07-15,162.449997,162.449997,162.449997,162.449997,162.449997,11551
2016-07-18,154.350006,154.350006,154.350006,154.350006,154.350006,16471
2016-07-19,146.649994,146.649994,146.649994,146.649994,146.649994,1393251
2016-07-20,139.350006,139.350006,139.350006,139.350006,139.350006,30944
2016-07-21,132.399994,132.399994,132.399994,132.399994,132.399994,244992
2016-07-22,125.800003,139.0,125.800003,130.75,130.75,15828062
2016-07-25,131.5,137.25,126.550003,137.25,137.25,1727167
2016-07-26,140.199997,141.800003,133.0,134.199997,134.199997,1579042
2016-07-27,136.050003,140.899994,135.300003,140.899994,140.899994,1484452
2016-07-28,144.0,146.899994,134.300003,137.449997,137.449997,1995353
2016-07-29,138.0,139.399994,131.350006,132.399994,132.399994,655065
2016-08-01,134.800003,135.350006,128.850006,130.300003,130.300003,721142
2016-08-02,130.0,132.0,124.0,125.150002,125.150002,511618
2016-08-03,125.5,128.149994,121.550003,123.25,123.25,737835
2016-08-04,124.900002,125.050003,119.099998,119.75,119.75,417290
2016-08-05,119.699997,138.350006,119.050003,135.300003,135.300003,2027920
2016-08-08,137.0,138.0,130.5,131.199997,131.199997,817619
2016-08-09,132.0,132.0,125.550003,127.949997,127.949997,1129234
2016-08-10,128.899994,129.899994,122.199997,123.449997,123.449997,927691
2016-08-11,123.0,129.0,123.0,127.650002,127.650002,388981
2016-08-12,128.100006,129.949997,125.0,125.800003,125.800003,299138
2016-08-16,125.800003,127.699997,124.199997,126.75,126.75,307858
2016-08-17,126.099998,129.0,125.650002,127.849998,127.849998,431385
2016-08-18,128.0,137.699997,127.5,136.300003,136.300003,2220499
2016-08-19,135.899994,152.800003,132.149994,147.25,147.25,2923874
2016-08-22,148.0,154.0,148.0,152.050003,152.050003,1661178
2016-08-23,151.899994,152.600006,148.5,150.100006,150.100006,1005940
2016-08-24,150.0,154.5,150.0,153.149994,153.149994,1510089
2016-08-25,154.0,165.199997,151.550003,163.5,163.5,1819225
2016-08-26,165.0,167.5,162.0,165.050003,165.050003,749483
2016-08-29,163.25,164.649994,154.25,154.949997,154.949997,434627
2016-08-30,156.649994,163.300003,152.600006,161.25,161.25,582439
2016-08-31,161.050003,162.149994,153.600006,154.600006,154.600006,279766
2016-09-01,155.75,155.75,148.050003,149.5,149.5,227673
2016-09-02,149.949997,150.0,142.850006,146.25,146.25,489854
2016-09-06,146.25,150.649994,144.5,145.600006,145.600006,305183
2016-09-07,146.649994,150.5,144.699997,145.550003,145.550003,235410
2016-09-08,146.600006,148.0,143.25,144.25,144.25,154059
2016-09-09,144.0,144.449997,138.5,139.899994,139.899994,288662
2016-09-12,138.399994,141.850006,134.949997,139.449997,139.449997,306308
2016-09-14,139.449997,143.649994,139.149994,141.899994,141.899994,358848
2016-09-15,144.600006,146.399994,141.550003,142.949997,142.949997,1983010
2016-09-16,144.699997,151.949997,143.800003,149.899994,149.899994,905445
2016-09-19,150.5,153.800003,149.5,151.350006,151.350006,1197126
2016-09-20,151.100006,151.350006,142.0,143.899994,143.899994,178490
2016-09-21,145.300003,150.25,144.0,148.050003,148.050003,266437
2016-09-22,150.0,150.0,144.649994,146.350006,146.350006,661904
2016-09-23,147.949997,148.899994,144.5,145.949997,145.949997,107949
2016-09-26,144.699997,147.0,141.899994,142.5,142.5,229592
2016-09-27,143.149994,144.600006,138.100006,140.050003,140.050003,375865
2016-09-28,141.649994,142.25,140.25,141.600006,141.600006,417688
2016-09-29,142.0,143.399994,133.350006,137.949997,137.949997,465324
2016-09-30,134.949997,141.0,134.949997,139.199997,139.199997,203494
2016-10-03,141.850006,141.850006,137.0,139.25,139.25,350192
2016-10-04,139.449997,141.5,138.600006,139.800003,139.800003,381617
2016-10-05,140.0,141.850006,138.449997,140.100006,140.100006,703054
2016-10-06,140.0,141.0,139.199997,140.0,140.0,316897
2016-10-07,141.899994,144.300003,139.75,142.199997,142.199997,391814
2016-10-10,145.0,145.050003,139.600006,140.100006,140.100006,278632
2016-10-13,140.100006,141.399994,138.699997,140.0,140.0,475875
2016-10-14,140.050003,141.050003,138.100006,139.199997,139.199997,128130
2016-10-17,141.0,141.0,135.699997,138.899994,138.899994,559691
